0x2030: "‰"
0xe215: ""
0xe216: ""
0xe217: ""
0xe218: ""
0xe219: ""
0xe21a: ""
0xe21b: ""
0xe21c: ""
0xe21d: ""
0xe21e: ""
0xe21f: ""
0xe220: ""
0xe221: ""
0xe222: ""
0xe223: ""
0xe224: ""
0xe225: ""
0xe226: ""
0xe227: ""
0xe228: ""
0xe229: ""
0xe22a: ""
0xe22b: ""
0xe22c: ""
0xe22d: ""
0xe22e: ""
0xe22f: ""
0xe230: ""
0xe231: ""
0xe232: ""
0xe233: ""
0xe234: ""
0xe235: ""
0xe236: ""
0xe237: ""
0xe238: ""
0xe239: ""
0xe23a: ""
0xe23b: ""
0xe23c: ""
0xe23d: ""
0xe23e: ""
0xe23f: ""
0xe240: ""
0xe241: ""
0xe242: ""
0xe243: ""
0xe244: ""
0xe245: ""
0xe246: ""
0xe247: ""
0xe248: ""
0xe249: ""
0xe24a: ""
0xe24b: ""
0xe24c: ""
0xe24d: ""
0xe24e: ""
0xe24f: ""
0xe250: ""
0xe251: ""
0xe252: ""
0xe253: ""
0xe254: ""
0xe255: ""
0xe256: ""
0xe257: ""
0xe258: ""
0xe259: ""
0xe25a: ""
0xe25b: ""
0xe25c: ""
0xe25d: ""
0xe25e: ""
0xe25f: ""
0xe260: ""
0xe261: ""
0xe262: ""
0xe263: ""
0xe264: ""
0xe265: ""
0xe266: ""
0xe267: ""
0xe268: ""
0xe269: ""
0xe26a: ""
0xe26b: ""
0xe26c: ""
0xe26d: ""
0xe26e: ""
0xe26f: ""
0xe270: ""
0xe271: ""
0xe272: ""
0xe273: ""
0xe274: ""
0xe275: ""
0xe276: ""
0xe277: ""
0xe278: ""
0xe279: ""
0xe27a: ""
0xe27b: ""
0xe27c: ""
0xe27d: ""
0xe27e: ""
0xe27f: ""
0xe280: ""
0xe281: ""
0xe282: ""
0xe283: ""
0xe284: ""
0xe285: ""
0xe286: ""
0xe287: ""
0xe288: ""
0xe289: ""
0xe28a: ""
0xe28b: ""
0xe28c: ""
0xe28d: ""
0xe28e: ""
0xe28f: ""
0xe290: ""
0xe291: ""
0xe292: ""
0xe293: ""
0xe294: ""
0xe295: ""
0xe296: ""
0xe297: ""
0xe298: ""
0xe299: ""
0xe29a: ""
0xe29b: ""
0xe29c: ""
0xe29d: ""
0xe29e: ""
0xe29f: ""
0xe2a0: ""
0xe2a1: ""
0xe2a2: ""
0xe2a3: ""
0xe2a4: ""
0xe2a5: ""
0xe2a6: ""
0xe2a7: ""
0xe2a8: ""
0xe2a9: ""
0xe300: ""
0xe301: ""
0xe302: ""
0xe303: ""
0xe304: ""
0xe305: ""
0xe306: ""
0xe307: ""
0xe308: ""
0xe309: ""
0xe30a: ""
0xe30b: ""
0xe30c: ""
0xe30d: ""
0xe30e: ""
0xe30f: ""
0xe310: ""
0xe311: ""
0xe312: ""
0xe313: ""
0xe314: ""
0xe315: ""
0xe316: ""
0xe317: ""
0xe318: ""
0xe319: ""
0xe31a: ""
0xe31b: ""
0xe31c: ""
0xe31d: ""
0xe31e: ""
0xe31f: ""
0xe320: ""
0xe321: ""
0xe322: ""
0xe323: ""
0xe324: ""
0xe325: ""
0xe326: ""
0xe327: ""
0xe328: ""
0xe329: ""
0xe32a: ""
0xe32b: ""
0xe32c: ""
0xe32d: ""
0xe32e: ""
0xe32f: ""
0xe330: ""
0xe331: ""
0xe332: ""
0xe333: ""
0xe334: ""
0xe335: ""
0xe336: ""
0xe337: ""
0xe338: ""
0xe339: ""
0xe33a: ""
0xe33b: ""
0xe33c: ""
0xe33d: ""
0xe33e: ""
0xe33f: ""
0xe340: ""
0xe341: ""
0xe342: ""
0xe343: ""
0xe344: ""
0xe345: ""
0xe346: ""
0xe347: ""
0xe348: ""
0xe349: ""
0xe34a: ""
0xe34b: ""
0xe34c: ""
0xe34d: ""
0xe34e: ""
0xe34f: ""
0xe350: ""
0xe351: ""
0xe352: ""
0xe353: ""
0xe354: ""
0xe355: ""
0xe356: ""
0xe357: ""
0xe358: ""
0xe359: ""
0xe35a: ""
0xe35b: ""
0xe35c: ""
0xe35d: ""
0xe35e: ""
0xe35f: ""
0xe360: ""
0xe361: ""
0xe362: ""
0xe363: ""
0xe364: ""
0xe365: ""
0xe366: ""
0xe367: ""
0xe368: ""
0xe369: ""
0xe36a: ""
0xe36b: ""
0xe36c: ""
0xe36d: ""
0xe36e: ""
0xe36f: ""
0xe370: ""
0xe371: ""
0xe372: ""
0xe373: ""
0xe374: ""
0xe375: ""
0xe376: ""
0xe377: ""
0xe378: ""
0xe379: ""
0xe37a: ""
0xe37b: ""
0xe37c: ""
0xe37d: ""
0xe37e: ""
0xe37f: ""
0xe380: ""
0xe381: ""
0xe382: ""
0xe383: ""
0xe384: ""
0xe385: ""
0xe386: ""
0xe387: ""
0xe388: ""
0xe389: ""
0xe38a: ""
0xe38b: ""
0xe38c: ""
0xe38d: ""
0xe38e: ""
0xe38f: ""
0xe390: ""
0xe391: ""
0xe392: ""
0xe393: ""
0xe394: ""
0xe395: ""
0xe396: ""
0xe397: ""
0xe398: ""
0xe399: ""
0xe39a: ""
0xe39b: ""
0xe39c: ""
0xe39d: ""
0xe39e: ""
0xe39f: ""
0xe3a0: ""
0xe3a1: ""
0xe3a2: ""
0xe3a3: ""
0xe3a4: ""
0xe3a5: ""
0xe3a6: ""
0xe3a7: ""
0xe3a8: ""
0xe3a9: ""
0xe3aa: ""
0xe3ab: ""
0xe3ac: ""
0xe3ad: ""
0xe3ae: ""
0xe3af: ""
0xe3b0: ""
0xe3b1: ""
0xe3b2: ""
0xe3b3: ""
0xe3b4: ""
0xe3b5: ""
0xe3b6: ""
0xe3b7: ""
0xe3b8: ""
0xe3b9: ""
0xe3ba: ""
0xe3bb: ""
0xe3bc: ""
0xe3bd: ""
0xe3be: ""
0xe3bf: ""
0xe3c0: ""
0xe3c1: ""
0xe3c2: ""
0xe3c3: ""
0xe3c4: ""
0xe3c5: ""
0xe3c6: ""
0xe3c7: ""
0xe3c8: ""
0xe3c9: ""
0xe3ca: ""
0xe3cb: ""
0xe3cc: ""
0xe3cd: ""
0xe3ce: ""
0xe3cf: ""
0xe3d0: ""
0xe3d1: ""
0xe3d2: ""
0xe3d3: ""
0xe3d4: ""
0xe3d5: ""
0xe3d6: ""
0xe3d7: ""
0xe3d8: ""
0xe3d9: ""
0xe3da: ""
0xe3db: ""
0xe3dc: ""
0xe3dd: ""
0xe3de: ""
0xe3df: ""
0xe3e0: ""
0xe3e1: ""
0xe3e2: ""
0xe3e3: ""
0xe5fa: ""
0xe5fb: ""
0xe5fc: ""
0xe5fd: ""
0xe5fe: ""
0xe5ff: ""
0xe600: ""
0xe601: ""
0xe602: ""
0xe603: ""
0xe604: ""
0xe605: ""
0xe606: ""
0xe607: ""
0xe608: ""
0xe609: ""
0xe60a: ""
0xe60b: ""
0xe60c: ""
0xe60d: ""
0xe60e: ""
0xe60f: ""
0xe610: ""
0xe611: ""
0xe612: ""
0xe613: ""
0xe614: ""
0xe615: ""
0xe616: ""
0xe617: ""
0xe618: ""
0xe619: ""
0xe61a: ""
0xe61b: ""
0xe61c: ""
0xe61d: ""
0xe61e: ""
0xe61f: ""
0xe620: ""
0xe621: ""
0xe622: ""
0xe623: ""
0xe624: ""
0xe625: ""
0xe626: ""
0xe627: ""
0xe628: ""
0xe629: ""
0xe62a: ""
0xe62b: ""
0xe62e: ""
0xe700: ""
0xe701: ""
0xe702: ""
0xe703: ""
0xe704: ""
0xe705: ""
0xe706: ""
0xe707: ""
0xe708: ""
0xe709: ""
0xe70a: ""
0xe70b: ""
0xe70c: ""
0xe70d: ""
0xe70e: ""
0xe70f: ""
0xe710: ""
0xe711: ""
0xe712: ""
0xe713: ""
0xe714: ""
0xe715: ""
0xe716: ""
0xe717: ""
0xe718: ""
0xe719: ""
0xe71a: ""
0xe71b: ""
0xe71c: ""
0xe71d: ""
0xe71e: ""
0xe71f: ""
0xe720: ""
0xe721: ""
0xe722: ""
0xe723: ""
0xe724: ""
0xe725: ""
0xe726: ""
0xe727: ""
0xe728: ""
0xe729: ""
0xe72a: ""
0xe72b: ""
0xe72c: ""
0xe72d: ""
0xe72e: ""
0xe72f: ""
0xe730: ""
0xe731: ""
0xe732: ""
0xe733: ""
0xe734: ""
0xe735: ""
0xe736: ""
0xe737: ""
0xe738: ""
0xe739: ""
0xe73a: ""
0xe73b: ""
0xe73c: ""
0xe73d: ""
0xe73e: ""
0xe73f: ""
0xe740: ""
0xe741: ""
0xe742: ""
0xe743: ""
0xe744: ""
0xe745: ""
0xe746: ""
0xe747: ""
0xe748: ""
0xe749: ""
0xe74a: ""
0xe74b: ""
0xe74c: ""
0xe74d: ""
0xe74e: ""
0xe74f: ""
0xe750: ""
0xe751: ""
0xe752: ""
0xe753: ""
0xe754: ""
0xe755: ""
0xe756: ""
0xe757: ""
0xe758: ""
0xe759: ""
0xe75a: ""
0xe75b: ""
0xe75c: ""
0xe75d: ""
0xe75e: ""
0xe75f: ""
0xe760: ""
0xe761: ""
0xe762: ""
0xe763: ""
0xe764: ""
0xe765: ""
0xe766: ""
0xe767: ""
0xe768: ""
0xe769: ""
0xe76a: ""
0xe76b: ""
0xe76c: ""
0xe76d: ""
0xe76e: ""
0xe76f: ""
0xe770: ""
0xe771: ""
0xe772: ""
0xe773: ""
0xe774: ""
0xe775: ""
0xe776: ""
0xe777: ""
0xe778: ""
0xe779: ""
0xe77a: ""
0xe77b: ""
0xe77c: ""
0xe77d: ""
0xe77e: ""
0xe77f: ""
0xe780: ""
0xe781: ""
0xe782: ""
0xe783: ""
0xe784: ""
0xe785: ""
0xe786: ""
0xe787: ""
0xe788: ""
0xe789: ""
0xe78a: ""
0xe78b: ""
0xe78c: ""
0xe78d: ""
0xe78e: ""
0xe78f: ""
0xe790: ""
0xe791: ""
0xe792: ""
0xe793: ""
0xe794: ""
0xe795: ""
0xe796: ""
0xe797: ""
0xe798: ""
0xe799: ""
0xe79a: ""
0xe79b: ""
0xe79c: ""
0xe79d: ""
0xe79e: ""
0xe79f: ""
0xe7a0: ""
0xe7a1: ""
0xe7a2: ""
0xe7a3: ""
0xe7a4: ""
0xe7a5: ""
0xe7a6: ""
0xe7a7: ""
0xe7a8: ""
0xe7a9: ""
0xe7aa: ""
0xe7ab: ""
0xe7ac: ""
0xe7ad: ""
0xe7ae: ""
0xe7af: ""
0xe7b0: ""
0xe7b1: ""
0xe7b2: ""
0xe7b3: ""
0xe7b4: ""
0xe7b5: ""
0xe7b6: ""
0xe7b7: ""
0xe7b8: ""
0xe7b9: ""
0xe7ba: ""
0xe7bb: ""
0xe7bc: ""
0xe7bd: ""
0xe7be: ""
0xe7bf: ""
0xe7c0: ""
0xe7c1: ""
0xe7c2: ""
0xe7c3: ""
0xe7c4: ""
0xe7c5: ""
0xf000: ""
0xf001: ""
0xf002: ""
0xf003: ""
0xf004: ""
0xf005: ""
0xf006: ""
0xf007: ""
0xf008: ""
0xf009: ""
0xf00a: ""
0xf00b: ""
0xf00c: ""
0xf00d: ""
0xf00e: ""
0xf010: ""
0xf011: ""
0xf012: ""
0xf013: ""
0xf014: ""
0xf015: ""
0xf016: ""
0xf017: ""
0xf018: ""
0xf019: ""
0xf01a: ""
0xf01b: ""
0xf01c: ""
0xf01d: ""
0xf01e: ""
0xf021: ""
0xf022: ""
0xf023: ""
0xf024: ""
0xf025: ""
0xf026: ""
0xf027: ""
0xf028: ""
0xf029: ""
0xf02a: ""
0xf02b: ""
0xf02c: ""
0xf02d: ""
0xf02e: ""
0xf02f: ""
0xf030: ""
0xf031: ""
0xf032: ""
0xf033: ""
0xf034: ""
0xf035: ""
0xf036: ""
0xf037: ""
0xf038: ""
0xf039: ""
0xf03a: ""
0xf03b: ""
0xf03c: ""
0xf03d: ""
0xf03e: ""
0xf040: ""
0xf041: ""
0xf042: ""
0xf043: ""
0xf044: ""
0xf045: ""
0xf046: ""
0xf047: ""
0xf048: ""
0xf049: ""
0xf04a: ""
0xf04b: ""
0xf04c: ""
0xf04d: ""
0xf04e: ""
0xf050: ""
0xf051: ""
0xf052: ""
0xf053: ""
0xf054: ""
0xf055: ""
0xf056: ""
0xf057: ""
0xf058: ""
0xf059: ""
0xf05a: ""
0xf05b: ""
0xf05c: ""
0xf05d: ""
0xf05e: ""
0xf060: ""
0xf061: ""
0xf062: ""
0xf063: ""
0xf064: ""
0xf065: ""
0xf066: ""
0xf067: ""
0xf068: ""
0xf069: ""
0xf06a: ""
0xf06b: ""
0xf06c: ""
0xf06d: ""
0xf06e: ""
0xf070: ""
0xf071: ""
0xf072: ""
0xf073: ""
0xf074: ""
0xf075: ""
0xf076: ""
0xf077: ""
0xf078: ""
0xf079: ""
0xf07a: ""
0xf07b: ""
0xf07c: ""
0xf07d: ""
0xf07e: ""
0xf080: ""
0xf081: ""
0xf082: ""
0xf083: ""
0xf084: ""
0xf085: ""
0xf086: ""
0xf087: ""
0xf088: ""
0xf089: ""
0xf08a: ""
0xf08b: ""
0xf08c: ""
0xf08d: ""
0xf08e: ""
0xf090: ""
0xf091: ""
0xf092: ""
0xf093: ""
0xf094: ""
0xf095: ""
0xf096: ""
0xf097: ""
0xf098: ""
0xf099: ""
0xf09a: ""
0xf09b: ""
0xf09c: ""
0xf09d: ""
0xf09e: ""
0xf0a0: ""
0xf0a1: ""
0xf0a2: ""
0xf0a3: ""
0xf0a4: ""
0xf0a5: ""
0xf0a6: ""
0xf0a7: ""
0xf0a8: ""
0xf0a9: ""
0xf0aa: ""
0xf0ab: ""
0xf0ac: ""
0xf0ad: ""
0xf0ae: ""
0xf0b0: ""
0xf0b1: ""
0xf0b2: ""
0xf0c0: ""
0xf0c1: ""
0xf0c2: ""
0xf0c3: ""
0xf0c4: ""
0xf0c5: ""
0xf0c6: ""
0xf0c7: ""
0xf0c8: ""
0xf0c9: ""
0xf0ca: ""
0xf0cb: ""
0xf0cc: ""
0xf0cd: ""
0xf0ce: ""
0xf0d0: ""
0xf0d1: ""
0xf0d2: ""
0xf0d3: ""
0xf0d4: ""
0xf0d5: ""
0xf0d6: ""
0xf0d7: ""
0xf0d8: ""
0xf0d9: ""
0xf0da: ""
0xf0db: ""
0xf0dc: ""
0xf0dd: ""
0xf0de: ""
0xf0e0: ""
0xf0e1: ""
0xf0e2: ""
0xf0e3: ""
0xf0e4: ""
0xf0e5: ""
0xf0e6: ""
0xf0e7: ""
0xf0e8: ""
0xf0e9: ""
0xf0ea: ""
0xf0eb: ""
0xf0ec: ""
0xf0ed: ""
0xf0ee: ""
0xf0f0: ""
0xf0f1: ""
0xf0f2: ""
0xf0f3: ""
0xf0f4: ""
0xf0f5: ""
0xf0f6: ""
0xf0f7: ""
0xf0f8: ""
0xf0f9: ""
0xf0fa: ""
0xf0fb: ""
0xf0fc: ""
0xf0fd: ""
0xf0fe: ""
0xf100: ""
0xf101: ""
0xf102: ""
0xf103: ""
0xf104: ""
0xf105: ""
0xf106: ""
0xf107: ""
0xf108: ""
0xf109: ""
0xf10a: ""
0xf10b: ""
0xf10c: ""
0xf10d: ""
0xf10e: ""
0xf110: ""
